"startTime","itsId","endTime","LENA_type","segmentId_DB","ChildID","Age_months_actual","filename","Endtime","Major_Choice","Num_Agreement"
27924.73,"20181218_132113_024879",27927.06,"Can/non-can","4363.DB1","3131_1",21.26,"20181218_132113_024879",27927.06,"Don't mark",2
27928.14,"20181218_132113_024879",27928.95,"Can/non-can","3256.DB1","3131_1",21.26,"20181218_132113_024879",27928.95,"Don't mark",3
27929.75,"20181218_132113_024879",27930.59,"Can/non-can","3500.DB1","3131_1",21.26,"20181218_132113_024879",27930.59,"Don't mark",3
27930.59,"20181218_132113_024879",27931.75,"Crying","5069.DB1","3131_1",21.26,"20181218_132113_024879",27931.75,"Don't mark",3
27931.75,"20181218_132113_024879",27932.66,"Can/non-can","4904.DB1","3131_1",21.26,"20181218_132113_024879",27932.66,"Don't mark",3
27933.46,"20181218_132113_024879",27935.47,"Can/non-can","4842.DB1","3131_1",21.26,"20181218_132113_024879",27935.47,"None",0
27938.09,"20181218_132113_024879",27946.07,"Can/non-can","6034.DB1","3131_1",21.26,"20181218_132113_024879",27946.07,"Don't mark",3
27947.58,"20181218_132113_024879",27948.18,"Can/non-can","6499.DB1","3131_1",21.26,"20181218_132113_024879",27948.18,"Non-canonical syllables",2
27948.98,"20181218_132113_024879",27951.36,"Can/non-can","4615.DB1","3131_1",21.26,"20181218_132113_024879",27951.36,"Non-canonical syllables",3
27954.44,"20181218_132113_024879",27956.28,"Can/non-can","3787.DB1","3131_1",21.26,"20181218_132113_024879",27956.28,"Non-canonical syllables",2
27957.08,"20181218_132113_024879",27958.1,"Can/non-can","4427.DB1","3131_1",21.26,"20181218_132113_024879",27958.1,"Non-canonical syllables",3
27958.1,"20181218_132113_024879",27958.82,"Can/non-can","4742.DB1","3131_1",21.26,"20181218_132113_024879",27958.82,"Non-canonical syllables",2
27963.52,"20181218_132113_024879",27965.93,"Can/non-can","4319.DB1","3131_1",21.26,"20181218_132113_024879",27965.93,"Non-canonical syllables",2
27974.81,"20181218_132113_024879",27976.03,"Can/non-can","4485.DB1","3131_1",21.26,"20181218_132113_024879",27976.03,"Non-canonical syllables",3
27980.33,"20181218_132113_024879",27982.93,"Can/non-can","6295.DB1","3131_1",21.26,"20181218_132113_024879",27982.93,"Canonical syllables",2
27986.64,"20181218_132113_024879",27987.34,"Can/non-can","6676.DB1","3131_1",21.26,"20181218_132113_024879",27987.34,"Non-canonical syllables",2
27993.86,"20181218_132113_024879",27994.81,"Can/non-can","3614.DB1","3131_1",21.26,"20181218_132113_024879",27994.81,"Non-canonical syllables",3
27995.96,"20181218_132113_024879",27997.01,"Can/non-can","4860.DB1","3131_1",21.26,"20181218_132113_024879",27997.01,"Non-canonical syllables",3
28000.96,"20181218_132113_024879",28001.91,"Can/non-can","3911.DB1","3131_1",21.26,"20181218_132113_024879",28001.91,"Non-canonical syllables",3
28002.78,"20181218_132113_024879",28003.38,"Can/non-can","6487.DB1","3131_1",21.26,"20181218_132113_024879",28003.38,"Non-canonical syllables",3
